2025-12-05 16:16:02.597 [info] Starting Python Locator /home/jay/.vscode/extensions/ms-python.python-2025.18.0-linux-x64/python-env-tools/bin/pet server
2025-12-05 16:16:02.707 [info] Discovered env: /bin/python
2025-12-05 16:16:02.709 [info] Discovered env: /usr/bin/python
2025-12-05 16:16:02.709 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2025-12-05 16:16:02.709 [info] Discovered env: /usr/sbin/python
2025-12-05 16:16:02.710 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2025-12-05 16:16:02.711 [info] Discovered env: /sbin/python
2025-12-05 16:16:02.743 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-12-05 16:16:02.743 [info] Discovered env: /sbin/python3
2025-12-05 16:16:02.744 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-12-05 16:16:02.744 [info] Discovered env: /usr/sbin/python3
2025-12-05 16:16:02.777 [info] Env ("/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.13", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2025-12-05 16:16:02.777 [info] Discovered env: /sbin/python3.13
2025-12-05 16:16:02.780 [info] Env ("/usr/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.13", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2025-12-05 16:16:02.780 [info] Discovered env: /usr/sbin/python3.13
2025-12-05 16:16:02.780 [info] Locator Conda took 66.100086ms
2025-12-05 16:16:02.781 [info] Locator Homebrew took 143.863µs
2025-12-05 16:16:02.781 [info] Locator LinuxGlobal took 108.931585ms
2025-12-05 16:16:02.781 [info] Locator PipEnv took 31.018µs
2025-12-05 16:16:02.781 [info] Locator Pixi took 17.739µs
2025-12-05 16:16:02.781 [info] Locator Poetry took 474.218µs
2025-12-05 16:16:02.781 [info] Locator PyEnv took 3.407269ms
2025-12-05 16:16:02.781 [info] Locator Venv took 16.225µs
2025-12-05 16:16:02.781 [info] Locator VirtualEnv took 58.6µs
2025-12-05 16:16:02.781 [info] Locator VirtualEnvWrapper took 128.928µs
2025-12-05 16:16:02.781 [info] Locator GlobalVirtualEnvs took 307.003µs
2025-12-05 16:16:02.781 [info] Locator Locators took 109.98671ms
2025-12-05 16:16:02.781 [info] Locator Path took 184.727378ms
2025-12-05 16:16:02.781 [info] Locator Workspaces took 700.17µs
2025-12-05 16:16:02.781 [info] Refresh completed in 185ms
2025-12-05 16:16:02.794 [info] Resolved Python Environment /bin/python
2025-12-05 16:20:47.268 [info] Resolved Python Environment /bin/python
2025-12-05 16:29:33.897 [info] Resolved Python Environment /bin/python
2025-12-05 16:30:04.057 [info] Resolved Python Environment /bin/python
